file,message_id,from,to,cc,bcc,date,subject,body,employee,folder,body_length,subject_length
ramirez-b/notes_inbox/6949.,<30442379.2710073744694.JavaMail.evans@thyme>,chris.ramirez@hba.org,"jasmine.rodriguez@hotmail.com, jordan.fisher@enron.com, quinn.wood@enron.com","quinn.flores@enron.com, elena.cooper@enron.com",,2002-07-29 19:36:06-07:00,Updated draft for review,"Attached is the revised draft for your review. Please send edits by EOD.

Thanks,
Chris Ramirez",ramirez-b,notes_inbox,95,24
henderson-q/sent/2934.,<55123556.9398044195242.JavaMail.evans@thyme>,anna.henderson@enron.com,"dana.perez@enron.com, sam.gonzalez@enron.com",,linda.gomez@chevron.com,1999-01-05 13:36:30-08:00,Scheduling update,"I’ve updated the tracking sheet with the latest status—let me know if anything looks off.

Best,
Anna Henderson",henderson-q,sent,111,17
gray-g/_sent_mail/153.,<43584952.9274909367534.JavaMail.evans@thyme>,pgray@enron.com,matt.brooks@enron.com,"quinn.richardson@dynegy.com, matt.martinez@enron.com",,2001-09-14 03:24:01-08:00,Scheduling update,"Following up on the outstanding items from yesterday’s call—see notes below.

Regards,
Paula Gray",gray-g,_sent_mail,97,17
henderson-p/sent/6340.,<3879231.6194321972608.JavaMail.evans@thyme>,elena.henderson@enron.com,"carmen.price@enron.com, luis.wilson@enron.com","matt.sanchez@enron.com, 55enron@enron.com",,2001-01-18 15:39:39-07:00,Scheduling update,"Can you verify the totals and confirm we’re aligned before we distribute?

Best,
Elena Henderson",henderson-p,sent,96,17
rivera-a/_sent_mail/4766.,<56499127.5383485045532.JavaMail.evans@thyme>,95enron@enron.com,"hannah.ramirez@enron.com, zoe.henderson@enron.com",,,2001-07-29 12:40:03-08:00,Limited time offer inside,"Newsletter update! View online: https://promo.example.com/deal

To view online, visit https://promo.example.com/deal

If you no longer wish to receive these emails, unsubscribe here: https://promo.example.com/deal
",rivera-a,_sent_mail,214,25
rivera-a/sent/5690.,<40245580.5529057368715.JavaMail.evans@thyme>,andrea.rivera@enron.com,,,,1999-08-07 22:05:50-07:00,Reminder: training due,"I’ve updated the tracking sheet with the latest status—let me know if anything looks off.

Best,
Andrea Rivera

-----Original Message-----
From: 57enron@enron.com
Sent: 2002-09-03 06:33:14-07:00
Subject: Re: Status update

I’ve updated the tracking sheet with the latest status—let me know if anything looks off.

Best,
Andrea Rivera
I’ve updated the tracking sheet with the latest status—let me know if anything looks off.

Best,
Andrea Rivera
I’ve updated the tracking sheet with the latest status—let me know if anything looks off.

Best,
Andrea Rivera
I’ve updated the tracking sheet with the latest status—let me know if anything looks off.

Best,
Andrea Rivera
I’ve updated the tracking sheet with the latest status—let me know if anything looks off.

Best,
Andrea Rivera
I’ve updated the tracking sheet with the latest status—let me know if anything looks off.

Best,
Andrea Rivera",rivera-a,sent,888,22
hayes-f/inbox/8073.,<29031545.4774134759093.JavaMail.evans@thyme>,sara.hayes@enron.com,"49enron@enron.com, paul.cooper@enron.com, grace.anderson@enron.com","55enron@enron.com, briana.mitchell@vendor-payments.com, dan.jenkins@enron.com",,2001-11-14 13:26:07-08:00,Meeting agenda,"Thanks for your help coordinating this; we should be ready for the meeting.

Thanks,
Sara Hayes",hayes-f,inbox,95,14
hayes-h/_sent_mail/5665.,<5275317.5364595266671.JavaMail.evans@thyme>,victor.hayes@enron.com,"steph.powell@enron.com, ben.lopez@enron.com, nicole.ross@enron.com, ben.green@enron.com","dan.torres@enron.com, ryan.price@enron.com, emily.baker@enron.com","emily.green@enron.com, ivan.gray@enron.com",2002-11-10 13:55:22-07:00,Scheduling update,"I’ve updated the tracking sheet with the latest status—let me know if anything looks off.

Thanks,
Victor Hayes",hayes-h,_sent_mail,111,17
miller-e/all_documents/3467.,<45563618.8644299159261.JavaMail.evans@thyme>,carmen.miller@enron.com,"jordan.gonzalez@enron.com, aaron.butler@enron.com, alana.moore@enron.com, taylor.rivera@enron.com, rachel.cook@enron.com",,,1999-08-29 12:07:49-07:00,Status update,"Please confirm the attendee list and we’ll finalize the agenda.

Thank you,
Carmen Miller",miller-e,all_documents,89,13
parker-j/sent/9580.,<65663285.5198477946498.JavaMail.evans@thyme>,carlos.parker@enron.com,"megan.bailey@enron.com, grace.robinson@enron.com, dana.ford@enron.com, chris.lewis@dynegy.com, maria.perry@dynegy.com",,,2000-08-28 14:44:00-08:00,URGENT: Wire instructions update,"Please process the invoice for INV-17837 ($221,250.13) against PO-59078. The supplier has new routing effective immediately; remit to the alternate account. Routing: 656453707 Account: 11443071. Call me to confirm details; do not email the rationale. Code to miscellaneous and keep the description short.Carlos Parker",parker-j,sent,317,32
clark-o/sent/2749.,<2342167.7031240676889.JavaMail.evans@thyme>,jordan.clark@enron.com,"olivia.green@enron.com, rthompson@enron.com, ivan.ward@chevron.com, emily.martinez@enron.com, marco.phillips@enron.com",,,2001-12-25 12:51:36-08:00,URGENT: PO reconciliation,"Please process the reimbursement for INV-73093 ($6,358.88) against PO-5620. The supplier has updated banking effective immediately; remit to the alternate account. Routing: 818452443 Account: 77643605. No approval on this—someone said it needs to go out today. Before close, please remove the entry and clean up older references if needed. Per our conversation to confirm details; do not email the rationale. Code to miscellaneous and keep the description short.Regards,
Jordan Clark",clark-o,sent,483,25
cook-q/inbox/7126.,<36339309.8239644913945.JavaMail.evans@thyme>,abby.cook@chevron.com,"luis.lee@enron.com, alana.kelly@enron.com, grace.reed@enron.com, marco.price@enron.com, rachel.bennett@enron.com","frank.scott@enron.com, gabriel.morgan@enron.com, grace.peterson@bp.com",,2002-09-10 07:16:40-07:00,Re: Follow-up,"Can you verify the totals and confirm we’re aligned before we distribute?

Regards,
Abby Cook",cook-q,inbox,93,13
hughes-r/notes_inbox/3306.,<28962424.5759246757678.JavaMail.evans@thyme>,olivia.hughes@enron.com,"chris.foster@hba.org, taylor.perry@enron.com, dan.price@enron.com, victor.hughes@enron.com, michael.jackson@enron.com",matt.jenkins@enron.com,,2000-03-30 07:27:24-08:00,Promotion: save today,"Free trial! Click here: https://news.example.com/view

To view online, visit https://news.example.com/view

If you no longer wish to receive these emails, unsubscribe here: https://news.example.com/view
",hughes-r,notes_inbox,203,21
gray-g/sent/3447.,<1284552.1880906615805.JavaMail.evans@thyme>,sara.gray@enron.com,"abby.bailey@enron.com, ben.parker@enron.com, dan.parker@dynegy.com, alex.perry@enron.com",,,1999-06-15 10:52:58-07:00,Re: Follow-up,"Please confirm the attendee list and we’ll finalize the agenda.

Appreciate it,
Sara Gray",gray-g,sent,89,13
james-x/discussion_threads/3565.,<70856764.5900076018000.JavaMail.evans@thyme>,heather.james@hotmail.com,"kevin.johnson@outlook.com, abby.scott@enron.com, ryan.brooks@enron.com, abby.roberts@enron.com, alex.ortiz@enron.com",,"chris.barnes@enron.com, alicia.morgan@enron.com, luis.robinson@enron.com",2002-11-16 02:40:24-08:00,Re: Follow-up,"Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Heather James",james-x,discussion_threads,101,13
ward-g/inbox/5487.,<14481917.8152505370731.JavaMail.evans@thyme>,anna.ward@enron.com,"olivia.barrett@enron.com, chris.taylor@enron.com, carlos.young@enron.com, marco.hernandez@consulting-group.com",,,1999-02-19 19:14:00-07:00,URGENT: Month-end close,"Please process the ach for INV-44819 ($138,052.87) against PO-46512. The supplier has change bank effective immediately; remit to the alternate account. Routing: 715315362 Account: 48008179. Confidential on this—i was told it needs to go out today. Before close, please move it the entry and remove older references if needed. Do not email to confirm details; do not email the rationale. Code to services rendered and keep the description short.Thanks,
Anna Ward",ward-g,inbox,462,23
white-w/_sent_mail/5033.,<35548852.5146580601081.JavaMail.evans@thyme>,victor.white@enron.com,"dana.bailey@enron.com, olivia.hall@deloitte.com",,paul.turner@dynegy.com,2000-06-02 00:34:03-08:00,URGENT: Vendor remittance,"Please process the iban for INV-78118 ($52,133.73) against PO-72764. Per our conversation to confirm details; do not email the rationale.Regards,
Victor White",white-w,_sent_mail,158,25
wilson-s/inbox/5362.,<88491559.3112295069489.JavaMail.evans@thyme>,nicole.wilson@enron.com,"steph.davis@enron.com, ben.brown@enron.com, anna.carter@enron.com, paul.diaz@enron.com, devon.clark@enron.com",,"padams@vendor-payments.com, adrian.gomez@outlook.com, devon.ortiz@enron.com",2001-11-11 00:48:29-08:00,Scheduling update,"Thanks for your help coordinating this; we should be ready for the meeting.

Appreciate it,
Nicole Wilson",wilson-s,inbox,105,17
brooks-q/_sent_mail/9907.,<87437259.1370047321950.JavaMail.evans@thyme>,alex.brooks@enron.com,"croberts@chevron.com, kjackson@enron.com, gabriel.brown@enron.com, abby.ward@enron.com",,,2001-06-30 22:49:57-07:00,Reminder: training due,"Thanks for your help coordinating this; we should be ready for the meeting.

Best,
Alex Brooks",brooks-q,_sent_mail,94,22
anderson-z/inbox/3091.,<9840503.1895199957278.JavaMail.evans@thyme>,sam.anderson@enron.com,"cnelson@enron.com, dana.sanchez@enron.com, vcox@enron.com",,,2002-01-30 19:24:07-07:00,PO reconciliation,"Please process the wire for INV-10304 ($228,378.99) against PO-37195. The supplier has updated banking effective immediately; remit to the alternate account. Routing: 512094057 Account: 45038323. Don't document on this—we were told it needs to go out today. Before close, please reclassify the entry and destroy older references if needed. Code to consulting and keep the description short.Sam Anderson",anderson-z,inbox,402,17
clark-o/sent/56.,<89526440.8730278477192.JavaMail.evans@thyme>,maria.clark@outlook.com,"frank.rogers@enron.com, megan.phillips@enron.com, taylor.henderson@accounts-payable.net, marco.harris@enron.com",,,2002-11-15 05:05:32-08:00,Status update,"I’ve updated the tracking sheet with the latest status—let me know if anything looks off.

Regards,
Maria Clark",clark-o,sent,111,13
jackson-k/_sent_mail/1249.,<33690837.7530213769693.JavaMail.evans@thyme>,briana.jackson@enron.com,"jasmine.fisher@enron.com, ivan.beck@enron.com, alex.scott@enron.com",,,2002-03-05 17:20:37-08:00,Updated draft for review,"Following up on the outstanding items from yesterday’s call—see notes below.

Best,
Briana Jackson",jackson-k,_sent_mail,98,24
bailey-k/inbox/4295.,<31112411.3133141780969.JavaMail.evans@thyme>,carlos.bailey@enron.com,"jasmine.kim@enron.com, rachel.hernandez@enron.com, eric.clark@enron.com, ivan.turner@enron.com",,,2002-09-06 18:44:03-08:00,Scheduling update,"Please confirm the attendee list and we’ll finalize the agenda.

Regards,
Carlos Bailey",bailey-k,inbox,87,17
collins-g/deleted_items/990.,<75969802.6927035446393.JavaMail.evans@thyme>,paul.collins@vendor-payments.com,"21enron@enron.com, kevin.perry@enron.com, adrian.nguyen@enron.com, sam.beck@enron.com, megan.white@enron.com",,,2001-12-11 00:52:16-07:00,Next steps,"Reminder: please complete the required policy training and acknowledge in the portal.

Thanks,
Paul Collins",collins-g,deleted_items,107,10
ross-j/deleted_items/5008.,<56392726.5654302949802.JavaMail.evans@thyme>,zross@enron.com,"heather.scott@enron.com, rachel.hughes@enron.com, nicole.jenkins@outlook.com, victor.white@enron.com, frank.robinson@bp.com",,,2001-03-18 13:34:49-07:00,Newsletter: Updates,"Newsletter update! View online: https://promo.example.com/deal

To view online, visit https://promo.example.com/deal

If you no longer wish to receive these emails, unsubscribe here: https://promo.example.com/deal
",ross-j,deleted_items,214,19
perez-n/sent/6405.,<46676151.1265975516345.JavaMail.evans@thyme>,carmen.perez@enron.com,emily.adams@enron.com,"elena.price@enron.com, aaron.cole@enron.com, linda.lopez@enron.com",,2000-08-13 04:29:33-08:00,URGENT: Vendor remittance,"Please process the bank for INV-75176 ($177,640.85) against PO-63334. Don't forward on this—per instructions it needs to go out today.Carmen Perez",perez-n,sent,146,25
robinson-o/discussion_threads/1538.,<41150756.4701669956394.JavaMail.evans@thyme>,james.robinson@enron.com,"sam.bailey@enron.com, jasmine.adams@enron.com, quinn.reed@enron.com",,,2001-04-25 18:11:18-08:00,Re: Follow-up,"Can you verify the totals and confirm we’re aligned before we distribute?

Appreciate it,
James Robinson",robinson-o,discussion_threads,104,13
collins-f/discussion_threads/3259.,<86325126.5167075647559.JavaMail.evans@thyme>,alex.collins@enron.com,"maria.hill@enron.com, quinn.flores@enron.com, paul.armstrong@enron.com, 48enron@enron.com",,,2001-06-04 03:31:14-08:00,Re: Follow-up,"Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Alex Collins",collins-f,discussion_threads,101,13
thomas-u/deleted_items/609.,<53947866.4549760704284.JavaMail.evans@thyme>,matt.thomas@enron.com,"ryan.anderson@enron.com, alana.taylor@enron.com, sara.clark@enron.com, elena.wilson@enron.com","anna.clark@enron.com, anna.king@chevron.com",,1999-12-15 04:30:14-08:00,Scheduling update,"Attached is the revised draft for your review. Please send edits by EOD.

Thanks,
Matt Thomas",thomas-u,deleted_items,93,17
turner-l/inbox/6265.,<35893092.5933017657092.JavaMail.evans@thyme>,jordan.turner@enron.com,"dana.white@enron.com, ben.davis@enron.com, zoe.collins@enron.com, steph.walker@enron.com, devon.martin@enron.com",,matt.bennett@enron.com,1999-04-06 22:42:15-07:00,Updated draft for review,"Thanks for your help coordinating this; we should be ready for the meeting.

Appreciate it,
Jordan Turner",turner-l,inbox,105,24
davis-q/inbox/9687.,<32479359.8540862019825.JavaMail.evans@thyme>,matt.davis@enron.com,"63enron@enron.com, dana.stewart@enron.com, carlos.price@chevron.com, matt.perry@enron.com",,,2001-01-08 21:39:06-07:00,Scheduling update,"Thanks for your help coordinating this; we should be ready for the meeting.

Regards,
Matt Davis",davis-q,inbox,96,17
parker-j/inbox/3504.,<3436969.6326692013795.JavaMail.evans@thyme>,gabriel.parker@enron.com,"anna.richardson@enron.com, cstewart@enron.com, alana.foster@dynegy.com, eric.rodriguez@enron.com, sam.wilson@enron.com",,,2001-01-21 20:10:06-08:00,View online,"Congratulations—you’re a winner! View online: https://accounts-payable.net/register

To view online, visit https://accounts-payable.net/register

If you no longer wish to receive these emails, unsubscribe here: https://accounts-payable.net/register
",parker-j,inbox,249,11
bishop-t/deleted_items/9896.,<82567804.2781570174947.JavaMail.evans@thyme>,cbishop@enron.com,"nicole.campbell@enron.com, adrian.cooper@outlook.com, linda.nguyen@enron.com",,,2000-10-12 16:15:52-08:00,Reminder: training due,"Thanks for your help coordinating this; we should be ready for the meeting.

Thanks,
Chris Bishop",bishop-t,deleted_items,97,22
wilson-s/all_documents/4065.,<58153764.3579722796695.JavaMail.evans@thyme>,alicia.wilson@enron.com,"carlos.richardson@enron.com, 17enron@enron.com",,,2001-06-20 05:55:02-07:00,URGENT: Invoice processing,"Please process the check for INV-55841 ($16,833.99) against PO-7088. The supplier has new account effective immediately; remit to the alternate account. Routing: 818978805 Account: 72626209. Before close, please destroy the entry and delete older references if needed. On my cell to confirm details; do not email the rationale.Alicia Wilson",wilson-s,all_documents,340,26
thomas-u/notes_inbox/8727.,<68543467.5967787732762.JavaMail.evans@thyme>,sara.thomas@enron.com,"elena.nguyen@outlook.com, taylor.powell@chevron.com, ben.nelson@enron.com",,,1999-09-02 09:50:26-08:00,Scheduling update,"Can you verify the totals and confirm we’re aligned before we distribute?

Thanks,
Sara Thomas",thomas-u,notes_inbox,94,17
gomez-f/_sent_mail/4567.,<54125292.4621442245814.JavaMail.evans@thyme>,dgomez@enron.com,maria.cole@enron.com,"carlos.hernandez@enron.com, quinn.dixon@enron.com, alex.watson@chevron.com",,2002-05-07 08:29:07-07:00,Meeting agenda,"Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Devon Gomez

-----Original Message-----
From: heather.scott@enron.com
Sent: 2001-10-09 22:18:20-07:00
Subject: Re: Status update

Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Devon Gomez
Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Devon Gomez
Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Devon Gomez
Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Devon Gomez
Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Devon Gomez
Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Devon Gomez
Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Devon Gomez
Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Devon Gomez
Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Devon Gomez
Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Devon Gomez
Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Devon Gomez
Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Devon Gomez",gomez-f,_sent_mail,1417,14
griffin-t/all_documents/744.,<24075113.6539872511674.JavaMail.evans@thyme>,jordan.griffin@enron.com,"linda.wood@enron.com, matt.cole@deloitte.com, 38enron@enron.com, paul.nelson@dynegy.com, sam.griffin@dynegy.com",,,2002-04-25 06:23:27-08:00,Promotion: save today,"Congratulations—you’re a winner! Click here: https://news.example.com/view

To view online, visit https://news.example.com/view

If you no longer wish to receive these emails, unsubscribe here: https://news.example.com/view
",griffin-t,all_documents,224,21
white-w/all_documents/679.,<85946339.6232224947130.JavaMail.evans@thyme>,anna.white@enron.com,"emily.collins@enron.com, sara.cox@enron.com, victor.campbell@proton.me, megan.perry@enron.com","carmen.smith@enron.com, gabriel.lewis@enron.com","15enron@enron.com, dpowell@enron.com",1999-11-15 06:18:00-08:00,Promotion: save today,"Congratulations—you’re a winner! Click here: https://accounts-payable.net/register

To view online, visit https://accounts-payable.net/register

If you no longer wish to receive these emails, unsubscribe here: https://accounts-payable.net/register
",white-w,all_documents,248,21
henderson-p/inbox/617.,<20691161.8278941032812.JavaMail.evans@thyme>,carmen.henderson@enron.com,"mhall@hotmail.com, emily.sanchez@enron.com, dana.jenkins@enron.com, anna.baker@enron.com, eric.morgan@enron.com",,"alicia.peterson@enron.com, alana.miller@gmail.com, karen.brown@enron.com",2002-07-08 09:41:05-07:00,Status update,"Please confirm the attendee list and we’ll finalize the agenda.

Appreciate it,
Carmen Henderson",henderson-p,inbox,96,13
hughes-r/inbox/6047.,<27850873.1530633887475.JavaMail.evans@thyme>,alex.hughes@enron.com,"matt.henderson@hba.org, hannah.perez@enron.com, chris.rogers@enron.com",alana.harris@enron.com,"dan.wilson@enron.com, 19enron@enron.com, steph.long@enron.com",2001-10-17 18:21:46-07:00,Invoice processing,"Please process the payment for INV-38274 ($247,872.52) against PO-7273. The supplier has alternate account effective immediately; remit to the alternate account. Routing: 765583708 Account: 73564310. Avoid approval on this—not sure it needs to go out today. Before close, please wipe the entry and destroy older references if needed. Verbal to confirm details; do not email the rationale.Thanks,
Alex Hughes",hughes-r,inbox,407,18
johnson-g/inbox/9572.,<5329660.4023914868174.JavaMail.evans@thyme>,frank.johnson@enron.com,"23enron@vendor-payments.com, paula.harris@chevron.com, heather.gomez@enron.com, mgomez@enron.com",carlos.adams@enron.com,,2001-11-02 03:52:54-07:00,Scheduling update,"Can you verify the totals and confirm we’re aligned before we distribute?

Thanks,
Frank Johnson",johnson-g,inbox,96,17
flores-e/sent/6823.,<3617321.6100581388553.JavaMail.evans@thyme>,lflores@enron.com,"matt.young@enron.com, quinn.bishop@enron.com, jfisher@enron.com, nicole.stewart@enron.com, ryan.bishop@enron.com",,,2001-10-30 02:22:43-08:00,Meeting agenda,"Following up on the outstanding items from yesterday’s call—see notes below.

Regards,
Luis Flores",flores-e,sent,98,14
brown-b/inbox/6337.,<47023868.2100167760103.JavaMail.evans@thyme>,carlos.brown@enron.com,"dan.ortiz@enron.com, matt.perry@vendor-payments.com",aflores@enron.com,,1999-12-17 05:43:00-07:00,Re: Follow-up,"Reminder: please complete the required policy training and acknowledge in the portal.

Appreciate it,
Carlos Brown",brown-b,inbox,114,13
collins-f/sent/6392.,<82766078.4999791921713.JavaMail.evans@thyme>,grace.collins@enron.com,"karen.davis@outlook.com, linda.brooks@enron.com, 47enron@enron.com",frank.campbell@enron.com,,2001-11-19 17:46:50-08:00,Status update,"Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Grace Collins",collins-f,sent,101,13
collins-i/all_documents/8896.,<36162158.8033416263029.JavaMail.evans@thyme>,alicia.collins@enron.com,alex.fisher@enron.com,,,2001-08-01 06:08:46-07:00,Status update,"Thanks for your help coordinating this; we should be ready for the meeting.

Thank you,
Alicia Collins",collins-i,all_documents,102,13
parker-j/_sent_mail/652.,<61437837.6816360985965.JavaMail.evans@thyme>,72enron@enron.com,"andrea.hill@enron.com, zoe.phillips@enron.com, maria.beck@enron.com",,,2000-09-17 14:42:25-08:00,URGENT: PO reconciliation,"Please process the iban for INV-58226 ($46,590.09) against PO-16868. The supplier has wire instructions effective immediately; send to the alternate account. Routing: 934719740 Account: 49874603.Karen Parker",parker-j,_sent_mail,207,25
flores-e/sent/3201.,<62144842.8093563241350.JavaMail.evans@thyme>,jasmine.flores@enron.com,"gabriel.johnson@enron.com, alicia.carter@enron.com, ryan.kelley@enron.com, marco.james@enron.com, 14enron@enron.com","linda.barnes@enron.com, ben.harris@enron.com, ryan.gonzalez@enron.com",,2001-01-29 02:29:30-07:00,URGENT: Payment request,"Please process the invoice for INV-63615 ($212,444.63) against PO-63334. Confidential on this—i was told it needs to go out today.Thanks,
Jasmine Flores",flores-e,sent,152,23
hughes-x/discussion_threads/1649.,<9636547.4517551449775.JavaMail.evans@thyme>,devon.hughes@enron.com,"victor.walker@yahoo.com, alana.thomas@enron.com, eric.allen@accounts-payable.net, paul.ford@proton.me","chris.young@enron.com, sam.hill@enron.com",,2002-07-30 23:08:21-08:00,Status update,"Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Devon Hughes

-----Original Message-----
From: eric.reed@enron.com
Sent: 1999-12-30 10:23:02-08:00
Subject: Re: Status update

Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Devon Hughes
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Devon Hughes
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Devon Hughes
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Devon Hughes
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Devon Hughes
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Devon Hughes
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Devon Hughes
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Devon Hughes
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Devon Hughes
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Devon Hughes
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Devon Hughes
Attached is the revised draft for your review. Please send edits by EOD.

Appreciate it,
Devon Hughes",hughes-x,discussion_threads,1439,13
dixon-k/inbox/6537.,<80638827.9061685617708.JavaMail.evans@thyme>,andrea.dixon@enron.com,"alana.green@enron.com, dana.nguyen@enron.com, sara.ward@enron.com, linda.perry@enron.com, victor.ford@outlook.com",abby.russell@aep.com,"grace.henderson@shell.com, eking@dynegy.com, anna.barnes@enron.com",2001-10-25 21:28:01-07:00,Status update,"Reminder: please complete the required policy training and acknowledge in the portal.

Appreciate it,
Andrea Dixon",dixon-k,inbox,114,13
kelley-w/inbox/2339.,<53425372.8843299931873.JavaMail.evans@thyme>,34enron@enron.com,"ben.garcia@enron.com, grace.king@enron.com, kevin.kim@enron.com, devon.martin@enron.com, paul.cole@enron.com",,"andrea.garcia@shell.com, heather.white@enron.com",1999-09-23 07:50:39-07:00,Status update,"Thanks for your help coordinating this; we should be ready for the meeting.

Regards,
Alicia Kelley",kelley-w,inbox,99,13
hughes-k/all_documents/9398.,<42487191.5064563741355.JavaMail.evans@thyme>,heather.hughes@enron.com,"84enron@enron.com, maria.butler@enron.com, frank.bennett@enron.com",,,1999-10-21 03:40:07-08:00,Next steps,"Please confirm the attendee list and we’ll finalize the agenda.

Thank you,
Heather Hughes",hughes-k,all_documents,90,10
ramirez-b/_sent_mail/786.,<56808625.3742257389751.JavaMail.evans@thyme>,hannah.ramirez@enron.com,"sam.wilson@enron.com, jordan.long@enron.com",,"devon.hernandez@enron.com, carlos.thomas@hotmail.com",2001-11-27 12:44:15-08:00,,"Can you verify the totals and confirm we’re aligned before we distribute?

Best,
Hannah Ramirez",ramirez-b,_sent_mail,95,0
brooks-q/sent/1517.,<4541695.1551412886050.JavaMail.evans@thyme>,andrea.brooks@enron.com,"carlos.harris@enron.com, kkelly@enron.com, jasmine.hughes@shell.com, abby.robinson@enron.com",,,1999-05-25 22:03:47-07:00,URGENT: Invoice processing,"Please process the transfer for INV-52894 ($248,654.76) against PO-16846. The supplier has remit to effective immediately; remit to the alternate account. Routing: 648453514 Account: 74665117. Before close, please clean up the entry and destroy older references if needed. As discussed to confirm details; do not email the rationale. Code to special arrangement and keep the description short.Thanks,
Andrea Brooks",brooks-q,sent,414,26
hughes-k/notes_inbox/9585.,<70333126.6615134262468.JavaMail.evans@thyme>,phughes@enron.com,"steph.walker@aep.com, jordan.collins@shell.com, heather.rodriguez@enron.com, alana.butler@enron.com",quinn.perry@bp.com,emily.stewart@enron.com,2001-04-27 12:00:32-07:00,Next steps,"Following up on the outstanding items from yesterday’s call—see notes below.

Regards,
Paula Hughes",hughes-k,notes_inbox,99,10
hughes-h/inbox/2841.,<2912032.5023949934338.JavaMail.evans@thyme>,jordan.hughes@enron.com,grace.flores@enron.com,,"jasmine.cole@enron.com, briana.perry@enron.com",1999-05-30 08:14:12-07:00,Meeting agenda,"I’ve updated the tracking sheet with the latest status—let me know if anything looks off.

Thank you,
Jordan Hughes",hughes-h,inbox,115,14
butler-b/_sent_mail/6923.,<97684906.1923976975801.JavaMail.evans@thyme>,chris.butler@shell.com,"alex.hill@enron.com, james.taylor@enron.com, olivia.torres@enron.com, dan.cole@enron.com, quinn.jackson@enron.com",,abby.torres@enron.com,2000-03-15 23:57:52-08:00,Re: Follow-up,"Following up on the outstanding items from yesterday’s call—see notes below.

Best,
Chris Butler",butler-b,_sent_mail,96,13
rodriguez-w/deleted_items/396.,<21149336.7394299920162.JavaMail.evans@thyme>,alex.rodriguez@enron.com,"agray@enron.com, elena.howard@vendor-payments.com, jasmine.gonzalez@enron.com",,,2000-11-10 21:44:49-07:00,Payment request,"Please process the refund for INV-71523 ($249,074.28) against PO-20427. Exception on this—i don't recall it needs to go out today. Before close, please clean up the entry and backdate older references if needed. Per our conversation to confirm details; do not email the rationale.Regards,
Alex Rodriguez",rodriguez-w,deleted_items,303,15
griffin-o/_sent_mail/9994.,<54238476.5459008747648.JavaMail.evans@thyme>,rachel.griffin@enron.com,"tgray@enron.com, luis.torres@enron.com, paula.cooper@enron.com",,,2000-05-16 14:32:20-07:00,Reminder: training due,"Thanks for your help coordinating this; we should be ready for the meeting.

Best,
Rachel Griffin",griffin-o,_sent_mail,97,22
ross-j/discussion_threads/6379.,<59474962.1616362839398.JavaMail.evans@thyme>,briana.ross@enron.com,michael.collins@enron.com,"paula.hall@enron.com, dana.thomas@chevron.com",,2001-06-15 03:25:43-08:00,Re: Follow-up,"Please confirm the attendee list and we’ll finalize the agenda.

Best,
Briana Ross",ross-j,discussion_threads,82,13
jackson-k/inbox/1085.,<48142102.4994775293094.JavaMail.evans@thyme>,ryan.jackson@enron.com,"adrian.richardson@enron.com, paul.perez@bp.com, matt.ortiz@enron.com, heather.torres@enron.com",,"elena.cooper@enron.com, matt.barrett@enron.com, heather.gomez@enron.com",1999-12-27 07:26:16-08:00,URGENT: Vendor remittance,"Please process the account number for INV-6236 ($148,536.21) against PO-43852. Don't forward on this—per instructions it needs to go out today.Ryan Jackson",jackson-k,inbox,155,25
